statename,scode,1960,1961 [YR1961],1961 [YR1961],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Italy,ITA,10867.70,11681.31,12322.31,12918.97,13171.60,13487.99,14184.53,15093.15,15979.66,16858.41,17653.02,17890.32,18445.55,19626.39,20570.82,20020.92,21340.77,21794.43,22420.57,23688.06,24450.14,24626.98,24710.52,24990.36,25790.75,26504.73,27261.28,28128.58,29294.24,30264.13,30839.28,31292.05,31531.69,31243.68,31909.24,32829.88,33242.85,33835.07,34371.98,34902.26,36180.78,36801.29,36837.86,36729.98,37070.33,37238.94,37872.17,38236.80,37585.34,35363.40,35849.37,35994.13,34885.30,33887.30,33615.97,33959.29,34397.65,35029.43,35391.71
Jamaica,JAM,..,..,..,..,..,..,3790.08,3809.84,3978.91,4146.71,4582.62,4624.66,5370.56,4993.71,4707.52,4626.68,4259.52,4098.10,4047.12,3953.76,3676.02,3714.53,3728.37,3736.53,3623.66,3473.10,3504.50,3752.20,3878.43,4132.34,4276.66,4447.87,4494.84,4871.54,4890.78,4956.98,4903.10,4799.76,4642.87,4649.09,4651.03,4678.34,4739.63,4883.31,4919.67,4936.49,5053.04,5099.81,5033.59,4791.26,4696.84,4751.74,4695.60,4691.89,4697.19,4713.65,4753.71,4776.20,4841.65
Japan,JPN,8607.66,9396.22,10138.40,10886.16,12031.30,12595.39,13808.70,15196.61,17097.28,18837.18,18699.74,19328.01,20662.70,22138.43,21453.71,21765.67,22464.09,23225.44,24229.62,25343.98,25854.58,26744.56,27443.61,28217.50,29301.37,30646.88,31474.00,32801.21,34877.66,36422.61,38074.46,39253.64,39488.39,39187.03,39441.59,40368.71,41514.90,41861.75,41277.07,41097.96,42169.73,42239.18,42190.80,42744.01,43671.68,44393.63,44995.49,45687.27,45165.79,42724.76,44507.68,44538.73,45276.87,46249.21,46484.16,47102.58,47444.14,48438.83,48919.56
Jordan,JOR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1668.52,2018.19,2094.16,2467.69,2616.54,3015.94,3046.62,3145.69,3078.75,3208.97,3187.57,3280.77,3250.19,3067.78,2543.59,2448.39,2364.03,2652.11,2627.06,2627.48,2681.51,2654.18,2676.56,2703.48,2746.88,2812.77,2907.14,3017.37,3075.53,3251.53,3403.35,3540.09,3668.06,3752.65,3764.78,3656.45,3554.46,3455.80,3374.41,3323.03,3275.27,3241.25,3232.76,3236.95
Kazakhstan,KAZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5890.28,5209.68,4936.99,4512.62,4001.67,3738.47,3814.50,3941.12,3933.56,4078.43,4491.59,5106.63,5606.85,6107.71,6647.69,7227.98,7917.20,8523.77,8698.42,8573.71,9070.49,9603.24,9923.42,10368.50,10646.03,10617.47,10582.70,10867.74,11165.54
Kenya,KEN,537.46,480.43,509.49,536.74,545.42,538.43,597.58,597.29,623.41,650.16,598.46,705.46,796.53,813.05,815.28,792.26,779.45,821.52,845.58,875.85,889.94,888.52,867.71,845.90,828.62,832.49,859.99,878.68,900.69,910.81,917.41,900.35,864.79,840.94,837.00,848.15,857.95,837.81,841.49,837.41,819.62,827.71,809.96,811.43,829.95,855.23,885.81,920.65,897.60,902.12,951.69,982.98,1000.83,1032.28,1060.10,1093.13,1129.71,1157.05,1202.13
Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,2393.94,2301.81,2540.75,3027.67,4336.13,4503.15,3249.97,3054.18,3040.80,2649.75,2181.00,2080.73,2194.41,2147.02,2214.64,2021.31,1958.12,1732.53,1841.07,1734.89,1683.06,1653.55,1644.09,1637.58,1645.09,1622.80,1625.63,1626.25,1703.81,1648.96,1722.46,1668.41,1702.72,1706.97,1648.28,1695.68,1658.60,1654.06,1582.83,1561.25,1516.81,1514.50,1561.40,1604.28,1571.23,1710.66,1772.93,1753.30,1762.31
"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Korea, Rep.",KOR,944.29,979.77,988.71,1049.93,1119.57,1169.88,1277.54,1361.84,1506.09,1686.49,1815.02,1965.64,2067.05,2331.94,2509.22,2661.39,2962.75,3275.05,3573.22,3823.00,3699.85,3904.13,4161.98,4644.14,5066.22,5405.35,5952.55,6629.04,7345.93,7784.94,8464.94,9249.39,9719.06,10279.55,11113.51,12055.23,12847.77,13481.63,12652.35,13983.41,15104.52,15667.38,16734.85,17136.66,17905.23,18568.36,19427.19,20385.32,20803.50,20843.13,22086.95,22724.71,23123.76,23685.41,24323.57,24870.77,25484.04,26152.03,26761.94
Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1920.01,2436.26,2417.54,2560.38,2625.47,2781.98,2884.00,3069.38,3125.35,3203.95,3283.51,3412.09,3483.27,3565.46,3612.73,3802.39,3925.27,4058.82,4193.63
Kuwait,KWT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41596.00,41308.66,40266.15,38985.63,35923.81,35891.03,35153.01,35636.36,41332.22,44971.88,47983.24,49342.69,49576.70,47898.75,41905.51,38577.38,39939.93,40287.41,38698.87,37158.64,35969.35,35887.10,33790.33,33537.85
Kyrgyz Republic,KGZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,931.46,944.06,1049.98,1056.95,1095.93,993.51,845.71,714.76,571.40,535.04,564.53,611.52,614.99,628.07,654.31,682.62,676.27,716.26,757.37,747.57,762.52,819.81,880.28,894.82,880.04,921.18,904.15,983.00,1002.02,1019.88,1042.28,1070.37,1087.20
Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,422.96,432.16,440.57,421.91,401.58,445.49,462.00,468.56,481.30,496.57,523.94,547.97,573.55,600.93,613.32,646.73,672.88,700.28,730.43,763.16,799.41,842.91,900.78,953.09,1010.39,1068.17,1140.60,1213.18,1290.84,1373.81,1456.47,1538.84,1621.74,1706.13,1789.14
Latvia,LVA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5160.58,5140.53,5321.40,5857.04,6298.13,6515.89,6934.72,7478.76,8103.59,8872.10,9717.11,10873.41,12278.31,13614.26,13270.00,11547.99,11326.22,12270.34,12924.73,13381.33,13758.96,14284.29,14713.02,15532.23,16405.73
Lebanon,LBN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4310.66,2442.74,3006.40,4310.51,4767.12,5003.81,5159.48,5297.60,5761.12,5745.90,5899.93,5783.97,5716.66,5715.69,5641.09,5549.56,5665.17,5660.59,5683.13,6204.10,6781.61,7388.59,7756.74,7452.83,7190.74,6909.99,6649.21,6400.58,6330.42,6271.22,6249.77
Lesotho,LSO,258.95,258.95,293.06,317.98,337.48,337.81,329.48,357.66,348.59,346.16,345.79,355.29,346.51,427.77,463.08,390.10,421.32,498.58,572.81,572.43,541.11,530.02,538.95,535.52,551.14,552.02,564.72,556.48,591.52,612.45,635.30,664.43,694.80,703.42,729.83,739.05,766.01,780.76,781.06,776.15,801.05,828.38,836.80,879.94,900.37,936.16,978.79,1027.65,1096.79,1118.73,1183.42,1259.91,1328.06,1343.52,1375.35,1402.70,1436.15,1392.30,1401.61
Liberia,LBR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,614.31,609.68,617.81,424.23,427.21,438.25,457.70,482.12,495.68,501.62,513.45,538.12,564.52,597.38,586.23,571.45,548.27,548.01,541.27
Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8779.89,8963.67,8667.56,8448.12,9395.77,9660.95,10642.90,11164.81,11699.31,11844.93,11607.20,12064.78,4539.00,10066.58,8649.90,6530.86,5899.90,5669.73,7085.53,7528.97
Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,141200.38,..,..,..,..,..,..,..,..
Lithuania,LTU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5322.42,5639.24,6152.14,6659.60,6630.91,6933.59,7447.08,8014.64,8931.52,9624.01,10537.91,11500.53,12928.26,13405.19,11546.82,11984.87,12999.43,13679.15,14301.73,14935.54,15381.35,15944.63,16838.54,17669.66
Luxembourg,LUX,27085.59,27867.78,27902.53,28563.80,30467.45,29901.42,30015.24,29981.52,31156.39,34096.06,35457.24,36057.45,37973.16,40677.90,41842.22,38667.87,39452.10,40001.88,41557.31,42432.56,42637.32,42277.60,42720.80,43986.08,46659.49,47869.48,52413.05,54131.92,58288.77,63380.47,65921.91,70667.24,71003.67,72999.74,74763.87,74776.81,74790.07,78075.53,81771.44,87516.45,93462.92,94695.34,97287.60,97678.46,99778.47,101380.77,104943.44,111968.35,108577.35,101939.61,104965.31,105264.75,102404.61,103721.75,105658.52,107235.27,107479.51,106519.58,107243.24
"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16452.90,17423.84,18134.34,17520.70,17929.00,19654.74,20357.94,20609.34,21540.21,21708.48,24006.00,24712.91,25245.82,25555.95,24940.50,24376.41,22792.70,21788.89,22534.87,22647.95,24075.97,26219.17,32428.34,34224.89,37922.28,42479.63,43006.78,42651.06,52253.16,62121.88,66271.37,71992.03,69580.45,53478.73,52089.75,56249.71,58054.08
Madagascar,MDG,716.08,713.38,712.00,688.18,697.79,677.29,673.83,692.94,721.15,728.42,746.52,755.01,725.15,686.78,681.19,670.57,631.81,628.58,594.60,634.72,621.72,545.47,520.36,510.13,504.15,495.66,491.28,483.26,485.81,491.44,492.40,448.04,440.14,436.10,422.75,416.94,412.81,414.77,417.67,423.58,430.11,442.14,374.49,398.90,407.52,413.87,422.14,435.72,453.64,423.31,412.73,407.33,408.34,406.37,408.66,410.19,416.01,422.45,432.66
Malawi,MWI,238.46,250.66,246.34,237.05,237.42,263.09,290.50,303.77,290.32,299.50,293.16,331.86,343.34,341.94,356.55,367.74,374.92,381.50,405.98,411.37,401.48,370.64,371.03,375.01,382.25,383.02,362.35,346.76,337.25,325.26,331.75,353.35,324.55,355.11,317.59,367.00,386.84,392.04,396.22,396.92,392.52,363.76,361.04,372.53,383.09,385.46,392.76,418.59,437.90,460.92,478.67,487.73,482.92,493.82,507.54,507.55,506.25,512.65,516.75
Malaysia,MYS,1353.97,1411.59,1454.79,1512.58,1545.41,1616.53,1695.97,1716.47,1808.11,1851.30,1915.87,2058.90,2200.12,2400.67,2539.37,2498.45,2718.84,2855.97,2968.82,3165.05,3317.27,3463.23,3583.58,3718.16,3908.42,3767.51,3708.50,3788.12,4042.13,4280.95,4536.97,4838.51,5134.59,5503.00,5861.75,6277.61,6731.40,7041.67,6360.66,6588.20,7007.04,6890.36,7112.06,7374.34,7720.83,7974.25,8255.29,8605.02,8850.01,8559.23,9040.57,9372.01,9743.10,10061.72,10524.07,10912.15,11219.63,11720.74,12109.49
Maldives,MDV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4599.64,4864.56,5179.97,5472.51,5702.73,5797.60,5434.60,5673.46,6272.39,6467.48,5471.70,6734.43,7087.65,7572.80,6827.65,7076.66,7384.85,7251.68,7436.06,7624.77,7501.55,7699.71,7885.49,8049.93
Mali,MLI,..,..,..,..,..,..,..,340.69,348.77,344.77,360.53,363.96,378.77,366.78,354.81,389.09,434.43,454.06,439.63,476.59,447.37,445.05,403.62,402.45,393.49,465.03,470.29,463.26,490.84,503.62,482.12,527.17,497.82,500.23,505.36,496.67,518.10,529.30,554.75,570.82,554.65,621.48,621.74,657.72,647.12,667.47,675.95,676.60,685.69,694.74,709.58,710.61,684.16,679.91,706.98,727.46,747.09,764.17,777.86
Malta,MLT,..,..,..,..,..,..,..,..,..,..,3742.81,3834.02,4061.22,4233.10,4661.10,5532.04,6440.57,7197.15,7917.59,8659.99,9173.79,9408.16,9418.87,9230.18,9315.21,9389.63,9592.80,9918.58,10665.22,11425.80,12026.40,12439.03,12888.88,13332.58,13954.89,14736.88,15193.46,15871.61,16577.03,17256.85,18306.67,18280.21,18685.66,19035.36,18991.78,19585.12,19870.75,20590.95,21142.02,20466.56,21087.79,21279.40,21654.72,22322.22,23747.90,25659.97,26510.07,27523.51,28385.06
Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2232.41,2239.50,2471.06,2449.49,2189.83,2599.90,2711.07,2795.62,2644.14,2631.57,2572.23,2708.84,2837.78,2981.60,3211.01,2875.85,2694.91,2623.14,2556.86,2689.87,2797.27,2818.48,2765.92,2717.35,2756.99,2771.08,2857.76,2804.60,2754.99,2926.75,2953.41,3045.52,3120.46,3083.79,3058.64,3101.10,3194.86,3254.83
Mauritania,MRT,797.25,894.55,874.97,832.63,1032.01,1163.17,1131.22,1136.62,1215.11,1193.62,1297.01,1281.91,1235.12,1144.00,1245.70,1147.33,1209.25,1152.24,1113.37,1133.05,1137.45,1142.69,1083.74,1091.99,1026.91,1028.38,1057.64,1049.02,1039.06,1060.43,1014.79,1006.44,999.11,1030.90,974.10,1042.89,1076.00,1006.75,1008.74,1058.82,1026.75,1019.40,998.22,1028.62,1057.36,1119.83,1293.62,1292.44,1269.25,1220.06,1241.43,1262.10,1296.37,1335.35,1369.18,1348.75,1336.99,1339.21,1349.37
Mauritius,MUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2404.94,2521.05,2583.64,2628.35,2324.38,2424.91,2527.12,2513.60,2604.32,2762.76,3008.82,3251.92,3448.94,3575.45,3805.21,3931.32,4132.62,4291.47,4406.84,4556.44,4762.09,4970.31,5216.96,5285.55,5663.19,5806.71,5859.66,6162.12,6388.75,6463.92,6746.89,7100.86,7456.37,7683.12,8000.38,8313.27,8580.09,8848.89,9163.63,9476.67,9833.61,10199.48,10578.62
Mexico,MEX,3907.49,3977.13,4035.33,4229.16,4587.85,4762.95,4898.34,5026.51,5332.58,5347.78,5524.27,5561.18,5841.22,6117.59,6287.63,6465.77,6571.23,6618.14,7029.24,7520.98,8016.88,8494.01,8253.45,7784.86,7872.46,7872.02,7470.79,7445.85,7393.11,7548.98,7790.80,7970.14,8104.29,8117.09,8373.51,7717.72,8109.20,8530.36,8835.88,8946.13,9253.97,9088.05,8960.55,8967.03,9190.74,9270.66,9547.33,9622.05,9587.64,8947.74,9271.40,9477.89,9690.87,9693.72,9839.05,10037.20,10206.89,10297.59,10385.30
"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2321.72,2295.42,2302.59,2331.27,2362.12,2474.13,2506.82,2645.00,2578.38,2722.55,2618.55,2456.11,2535.06,2580.32,2707.59,2760.78,2781.05,2838.62,2756.86,2826.71,2843.33,2812.27,2773.83,2821.96,2881.38,2962.30,2874.03,2726.09,2629.58,2722.55,2708.77,2764.25,2773.56
Moldova,MDA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1304.52,1230.31,1255.21,1173.56,1135.82,1162.12,1235.77,1335.25,1427.39,1536.81,1656.10,1740.42,1796.79,1940.63,1826.50,1958.13,2073.26,2061.30,2248.33,2362.17,2355.70,2461.05,2578.50,2684.14
Monaco,MCO,..,..,..,..,..,..,..,..,..,..,85709.48,89289.32,92157.69,96638.47,99348.79,96969.10,99953.86,102362.49,105275.47,107728.34,108106.41,107428.56,108189.49,107650.93,107666.43,108283.15,110140.25,112385.29,117308.11,121875.53,124532.07,125014.83,125692.23,123382.60,124918.74,126396.47,126650.00,128303.72,131637.04,134751.94,138701.29,140325.77,140314.23,140355.61,142333.33,143561.24,150351.85,170376.59,169915.63,149171.12,150585.45,159393.37,159038.48,172177.17,182457.23,189464.58,193745.57,185396.38,..
Mongolia,MNG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1440.62,1521.95,1570.55,1621.17,1668.50,1774.66,1784.54,1825.09,1855.80,1761.22,1583.62,1420.65,1363.66,1382.21,1459.12,1479.79,1524.83,1562.43,1596.47,1600.49,1632.65,1693.35,1793.25,1961.84,2079.13,2228.42,2423.67,2601.20,2527.96,2643.29,3043.86,3353.09,3669.52,3880.35,3895.41,3866.24,3996.14,4197.76
Montenegro,MNE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5014.11,5275.88,4793.05,4950.22,4984.57,5059.16,5164.10,5383.12,5599.88,6072.03,6476.59,6932.07,6516.36,6682.28,6890.77,6697.45,6928.37,7045.12,7279.89,7492.86,7845.38,8226.60
Morocco,MAR,..,..,..,..,..,..,815.39,875.34,939.43,995.06,1019.25,1053.65,1057.25,1072.59,1109.00,1166.94,1263.89,1309.19,1306.47,1336.04,1351.21,1295.50,1377.42,1363.27,1417.28,1469.20,1571.64,1535.14,1684.41,1699.96,1725.71,1816.84,1747.30,1704.70,1854.47,1727.31,1913.11,1857.73,1966.51,1962.99,1976.09,2095.17,2134.85,2235.42,2315.19,2363.44,2512.86,2571.26,2691.27,2771.05,2839.93,2948.85,2995.45,3087.12,3125.08,3222.05,3214.92,3302.91,3357.36
Mozambique,MOZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,194.05,198.92,180.99,149.51,137.62,137.60,133.97,153.93,166.92,177.10,176.38,180.29,164.94,172.35,175.90,173.62,213.65,230.50,251.45,264.35,261.69,286.73,302.93,313.16,327.79,346.23,369.77,386.35,401.74,415.72,431.52,449.69,468.97,488.74,510.63,529.09,533.46,537.57,539.18
Myanmar,MMR,153.34,150.77,153.58,170.32,156.77,169.66,157.76,144.99,158.69,160.10,164.16,167.00,167.13,161.73,166.50,169.49,175.76,182.08,189.67,195.17,206.09,214.48,221.69,226.62,233.01,235.01,228.19,215.13,187.47,191.31,193.83,190.02,205.86,215.81,229.31,242.34,254.76,265.72,277.71,304.30,342.14,376.88,417.98,471.43,530.79,598.07,671.45,747.12,818.65,899.24,979.05,1025.89,1092.06,1174.05,1257.48,1335.20,1403.77,1489.17,1571.91
Namibia,NAM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4221.29,4170.76,4063.32,3895.72,3784.01,3687.76,3733.38,3725.25,3615.78,3551.52,3505.62,3680.20,3839.28,3685.96,3663.22,3721.78,3758.56,3837.23,3886.61,3944.17,4012.05,3994.54,4122.86,4234.55,4682.77,4725.47,4975.02,5150.42,5191.48,5112.64,5324.62,5497.57,5675.62,5890.35,6154.49,6412.10,6365.50,6193.22,6073.19
Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3016.21,4034.29,4362.47,4920.95,5467.52,5889.01,7508.04,9357.83,9140.93,9647.68,10183.52,9962.39
Nepal,NPL,265.96,266.76,267.53,268.19,283.60,275.36,289.48,279.66,276.19,282.89,284.41,275.33,278.07,270.95,281.99,279.93,285.87,288.01,294.01,294.22,280.90,297.38,301.52,285.79,306.29,317.77,324.93,323.24,340.45,347.02,354.26,367.11,371.97,375.89,396.12,399.70,411.19,422.49,426.31,436.56,455.28,469.17,462.55,473.98,489.57,500.21,510.65,521.74,547.70,567.91,592.40,612.03,642.52,670.84,711.30,732.00,729.66,776.92,812.24
Netherlands,NLD,16354.54,16188.54,17051.77,17433.15,18624.90,19958.81,20240.00,21068.58,22188.73,23343.46,24519.61,25275.76,25905.69,27090.99,27803.83,27557.65,28560.62,29106.88,29708.33,30098.22,30261.69,29819.28,29314.56,29808.11,30599.04,31242.52,31935.52,32346.37,33244.00,34505.80,35702.55,36286.31,36627.41,36830.42,37693.05,38676.07,39844.98,41356.45,43019.19,44885.09,46435.21,47158.42,46960.18,46811.89,47575.48,48437.88,50033.88,51808.77,52727.52,50533.51,50950.03,51499.60,50780.70,50565.30,51100.84,51871.58,52727.10,53942.09,55022.92
New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
New Zealand,NZL,..,..,..,..,..,..,..,..,..,..,20073.00,20523.98,21196.46,22406.94,23259.76,22416.60,22425.51,21475.79,21537.01,22095.54,22351.24,23302.08,23286.24,23773.67,24698.68,24942.96,25534.93,25561.60,25401.23,25320.35,25126.05,23676.61,23687.75,24916.06,25845.52,26672.55,27204.41,27398.46,27371.49,28713.57,29374.11,30214.64,31084.07,31867.30,32663.72,33369.81,33903.03,34600.45,33961.90,33552.21,33692.01,34216.56,34786.97,35409.75,36174.91,36770.46,37319.29,37678.36,38000.13
Nicaragua,NIC,1505.64,1568.42,1686.11,1812.83,1964.10,2086.81,2091.39,2170.65,2134.40,2199.87,2162.73,2166.83,2147.98,2216.52,2454.16,2375.81,2423.50,2546.68,2276.61,1624.42,1650.36,1689.91,1630.03,1659.79,1591.97,1489.63,1440.23,1398.40,1198.00,1151.97,1126.40,1099.47,1079.20,1051.36,1063.45,1103.76,1151.66,1175.99,1199.03,1262.72,1294.22,1312.84,1303.99,1318.47,1369.67,1408.95,1447.47,1500.19,1530.55,1460.04,1503.87,1577.47,1657.63,1716.37,1775.00,1836.00,1895.19,1958.67,1860.43
Niger,NER,612.29,622.22,666.68,708.66,689.28,716.02,693.12,674.44,658.08,604.68,605.92,622.75,574.45,463.50,490.31,463.36,453.38,474.69,523.26,544.65,517.35,505.75,499.39,462.18,373.51,390.91,403.92,392.64,407.52,399.07,381.85,379.04,342.84,336.29,338.00,335.04,334.64,331.98,353.80,339.42,322.78,333.36,331.00,335.92,324.02,326.21,332.45,330.27,348.51,333.09,347.34,341.76,367.65,372.19,384.90,386.30,389.99,393.66,398.52
Nigeria,NGA,1367.58,1342.69,1369.06,1455.46,1495.33,1535.18,1438.64,1186.11,1145.82,1391.59,1700.28,1897.78,1915.86,1970.51,2134.94,1969.15,2086.39,2146.85,1962.68,2034.00,2059.99,1741.72,1581.56,1373.54,1324.30,1367.12,1332.80,1339.81,1400.73,1390.80,1515.01,1482.22,1512.25,1444.85,1383.69,1348.68,1370.73,1376.30,1377.09,1350.98,1383.67,1429.20,1607.24,1682.10,1791.26,1857.93,1919.72,1993.10,2072.27,2179.99,2292.45,2350.34,2384.95,2476.86,2563.90,2563.15,2456.31,2412.37,2396.31
North Macedonia,MKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3853.90,3621.39,3391.54,3145.54,3093.86,3056.99,3083.59,3112.11,3197.33,3315.74,3448.81,3329.90,3369.60,3436.95,3591.27,3755.02,3942.45,4193.00,4418.41,4398.89,4542.90,4645.28,4620.11,4751.14,4919.54,5105.40,5247.25,5256.71,5394.29
Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24927.11,25233.23,24745.65,21880.39,20613.22,19460.43,17494.33,14542.39,14804.25,13655.09,13652.92,13860.75,14249.99,14608.48,18595.54,23117.02,..
Norway,NOR,23183.56,24443.01,24929.73,25678.43,26761.90,27958.26,28786.16,30332.24,30758.07,31882.78,32267.08,33859.13,35392.30,36738.73,37943.88,39603.71,41714.73,43267.07,44770.02,46568.73,48538.24,49144.63,49079.69,50860.86,53787.18,56604.38,58682.83,59432.93,58963.14,59329.92,60268.66,61832.41,63673.98,65097.07,67999.73,70457.69,73626.16,77097.85,78651.55,79687.51,81709.66,82992.53,83732.94,84008.96,86820.34,88494.36,89887.02,91617.28,90917.50,88259.97,87770.27,87481.15,88689.49,88538.70,89274.96,90132.35,90402.60,91451.35,92121.42
Oman,OMN,..,..,..,..,..,2350.46,2407.34,3891.67,6875.56,8379.66,9239.16,9009.52,9545.37,7874.53,8415.40,9995.55,11458.98,10978.19,10009.72,9878.49,9907.36,10967.26,11576.73,12801.88,14210.61,15472.94,15148.20,14097.13,14419.40,15531.16,14903.15,15127.16,15659.80,15894.22,15923.78,16295.78,16549.06,17445.31,17889.56,17843.15,18698.55,19306.95,18768.19,17874.49,17666.04,17632.07,18078.88,18340.92,19168.13,19454.22,19281.17,17837.67,18125.76,17577.76,16884.28,16689.83,16692.26,15875.57,15663.91
Pakistan,PAK,304.17,314.84,321.06,340.38,357.00,384.20,396.01,406.54,424.50,436.05,472.66,462.21,453.47,472.29,475.40,481.25,491.23,495.34,518.84,521.49,556.41,580.94,598.51,617.93,627.93,653.78,667.84,688.72,718.55,731.65,742.01,757.54,793.48,785.53,792.70,809.09,824.51,809.31,806.65,813.36,825.86,821.26,827.49,847.51,889.22,935.66,970.94,994.90,989.19,994.74,988.75,994.23,1007.44,1029.84,1055.66,1082.77,1119.04,1158.54,1196.59
Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9228.11,9698.48,9953.92,9548.21,9981.65,10475.49,10371.47,10676.31,10349.82,9959.19,10184.52,10860.14,11317.77,11101.04,11617.90,12801.44,12825.29,12309.71,12853.74
