statename,scode,1960,1961 [YR1961],1961 [YR1961],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Botswana,BWA,407.78,425.24,443.98,459.82,480.31,497.23,517.71,537.00,580.95,653.11,744.92,910.25,1114.44,1307.14,1372.79,1435.24,1529.02,1647.32,1811.17,1954.64,2109.00,2219.73,2405.82,2631.23,2758.31,2849.47,2967.59,3193.81,3671.44,4002.76,4133.46,4309.26,4313.86,4284.79,4332.03,4525.77,4676.44,4948.41,4858.71,5214.45,5211.07,5126.35,5341.92,5493.14,5542.31,5686.78,6038.79,6400.72,6657.83,6029.20,6434.82,6728.20,6944.81,7646.41,7864.25,7613.70,7797.15,7859.44,8031.01
Brazil,BRA,3417.35,3660.39,3740.43,3664.98,3685.49,3692.85,3741.86,3821.46,4147.38,4435.38,4704.32,5108.40,5587.89,6219.51,6623.42,6805.30,7296.35,7453.59,7514.29,7835.07,8349.49,7796.85,7660.58,7230.72,7442.97,7862.70,8316.52,8445.71,8276.33,8389.98,7983.75,7963.11,7791.76,8020.61,8311.56,8540.08,8591.01,8744.85,8641.28,8554.07,8803.15,8804.33,8954.84,8943.83,9346.04,9535.42,9805.72,10293.53,10710.87,10594.99,11286.24,11627.81,11745.78,11993.48,11951.21,11431.15,10962.63,10990.19,11026.24
British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45632.25,43937.47,50735.58,54169.99,55768.54,66019.88,59413.39,46170.99,46590.02,45496.50,44489.96,42601.64,40284.28,39943.67,39251.69,37740.78,37080.91,37171.47,37848.13,36913.65,37052.27,37713.69,37842.93,36409.37,35390.79,35680.98,35931.60,36171.81,36841.29,37212.47,36761.25,36329.50,37399.74,36987.84,35844.42,34800.56,35269.55,36121.89,35967.33,34729.83,33471.15,32869.29,31685.23,31752.79,31436.95
Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3223.81,3370.53,3439.03,3548.13,3660.07,3758.34,3917.51,4148.59,4597.48,4498.55,4162.82,3849.19,3607.79,3582.86,3660.40,3781.90,3828.25,3809.69,4078.69,3756.75,3955.28,4186.92,4532.85,4804.48,5152.41,5561.16,5988.77,6476.05,6914.40,6709.53,6843.27,7019.17,7062.13,7136.85,7309.42,7611.55,7966.88,8331.15,8651.09
Burkina Faso,BFA,238.85,245.20,256.78,250.12,252.26,257.92,255.28,273.30,276.97,277.77,273.33,272.41,273.84,270.18,287.26,290.37,309.15,304.24,311.83,316.44,311.89,317.61,339.56,332.26,318.10,336.41,353.89,343.97,354.49,352.68,341.35,362.48,353.67,356.13,351.10,361.12,389.97,403.22,420.72,439.30,434.76,450.45,456.73,478.30,485.31,511.97,527.96,541.27,563.45,562.84,575.45,595.39,615.10,631.61,639.71,645.37,664.02,685.76,709.76
Burundi,BDI,213.40,180.55,193.19,197.31,205.40,208.85,213.24,236.54,229.92,221.45,263.64,266.98,247.10,261.53,256.69,254.68,269.80,294.23,284.46,281.92,277.45,303.23,292.28,295.20,287.75,312.87,314.06,322.09,329.03,324.77,327.99,336.58,332.77,305.95,289.20,262.38,238.47,232.31,240.84,235.31,229.21,228.66,232.47,222.81,226.29,221.10,225.62,225.86,229.15,230.19,234.24,235.99,238.82,242.85,245.33,228.43,219.96,214.14,210.78
Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,680.49,725.66,732.02,785.75,799.75,853.41,864.22,888.78,928.74,965.56,952.76,943.04,1018.16,1075.70,1246.78,1387.56,1508.87,1640.44,1808.84,1973.86,2215.07,2225.41,2303.97,2362.96,2565.78,2705.13,2882.89,3279.08,3455.10,3370.35,3378.25,3468.67,3461.93,3445.31,3422.75,3414.56,3532.14,3630.48,3786.73
Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,509.99,321.28,341.89,351.28,355.15,362.10,398.29,431.20,453.97,474.94,506.58,549.97,613.13,668.88,726.29,763.51,752.80,785.50,827.78,873.95,922.89,972.74,1024.62,1079.63,1137.82,1205.29
Cameroon,CMR,956.34,947.86,956.12,970.45,982.62,979.87,1001.44,871.15,904.18,925.27,930.08,938.00,938.19,962.41,1037.13,1122.20,1031.01,1139.50,1350.24,1389.89,1322.14,1501.47,1565.32,1621.57,1688.95,1768.42,1829.19,1733.95,1548.60,1473.81,1342.20,1253.02,1179.05,1054.76,1047.30,1054.23,1071.01,1097.68,1117.55,1135.53,1145.45,1164.35,1181.87,1203.25,1250.71,1241.87,1250.24,1276.06,1284.75,1277.35,1285.26,1302.16,1324.64,1358.78,1400.39,1440.38,1467.76,1480.29,1497.78
Canada,CAN,..,18056.30,19039.63,19687.97,20603.60,21512.12,22530.87,22813.14,23569.45,24424.25,24775.12,25010.42,26083.86,27528.25,28037.12,28034.66,29294.71,29949.36,30744.97,31571.94,31839.23,32542.60,31132.46,31628.16,33182.41,34438.33,34828.63,35772.31,36868.81,37052.38,36557.63,35353.02,35251.64,35794.09,36995.50,37600.33,37811.71,39039.99,40226.63,41960.24,43724.16,44025.54,44863.22,45261.34,46225.36,47257.47,48014.93,48536.54,48497.56,46542.90,47450.32,48466.85,48788.33,49400.46,50309.16,50279.59,50263.83,51150.75,51382.42
Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,599.12,618.74,585.84,571.58,572.87,567.33,559.62,573.69,569.78,598.29,601.34,598.43,589.69,592.24,620.12,611.83,632.58,642.85,635.74,604.68,562.22,537.62,561.53,500.26,532.21,539.23,546.57,509.94,509.59,509.87,488.08,473.28,430.79,419.90,427.99,446.33,417.39,428.61,438.03,443.27,422.45,431.64,437.83,405.76,421.54,417.10,428.54,439.75,440.87,471.63,487.95,504.75,528.13,336.93,336.10,349.17,363.05,374.42,384.78
Chad,TCD,696.27,692.45,715.34,690.11,659.74,651.09,627.46,620.74,606.51,635.70,634.16,606.17,598.82,535.63,549.27,585.78,591.02,592.56,578.63,445.78,410.31,405.75,417.90,472.00,469.50,556.35,518.20,490.35,548.36,556.78,516.58,543.02,568.05,463.70,494.35,484.11,478.39,488.43,504.46,483.38,461.80,496.48,518.27,572.07,736.11,832.75,809.25,807.84,805.29,811.92,891.70,862.92,908.43,928.56,960.44,955.73,868.21,816.74,813.34
Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,3611.92,3723.17,3794.01,3935.05,3957.24,3920.29,4283.02,4362.00,4443.88,4543.79,4552.26,4901.25,4773.98,4462.27,4497.17,3856.04,3942.57,4288.22,4549.16,4859.51,5172.04,5432.15,4767.20,4465.63,4583.38,4697.52,4875.13,5109.17,5397.03,5836.71,5933.21,6291.68,6879.78,7214.69,7459.18,8004.32,8427.82,8932.07,9199.20,9049.47,9419.98,9622.15,9814.66,10109.67,10726.64,11225.08,11808.83,12256.43,12553.79,12227.21,12808.03,13455.84,14035.68,14461.17,14561.33,14722.37,14771.26,14748.51,15130.15
China,CHN,192.29,141.28,132.30,142.39,164.41,187.76,202.04,185.55,173.36,197.25,228.91,238.43,241.50,254.37,254.92,272.30,263.91,280.04,307.09,326.05,347.12,360.43,386.89,422.66,480.30,537.50,576.91,634.09,694.06,712.12,729.16,786.13,886.95,998.40,1116.03,1224.85,1332.42,1440.59,1538.66,1642.36,1767.83,1901.41,2061.16,2253.93,2467.13,2732.17,3062.53,3480.15,3796.63,4132.90,4550.45,4961.23,5325.16,5710.59,6096.49,6484.44,6883.90,7308.07,7754.96
Colombia,COL,2337.00,2380.32,2432.06,2435.47,2508.10,2522.07,2577.81,2608.92,2688.34,2777.65,2876.25,2975.13,3130.39,3267.12,3379.42,3382.19,3464.01,3528.28,3742.48,3856.96,3926.93,3929.27,3881.11,3858.13,3903.52,3941.49,4086.29,4219.70,4304.66,4364.54,4462.73,4463.63,4554.57,4708.38,4889.13,5049.93,5062.71,5146.51,5089.42,4796.06,4857.80,4862.50,4908.73,5026.24,5219.79,5392.19,5684.02,5998.79,6121.75,6127.00,6326.55,6726.83,6926.63,7177.47,7441.31,7572.37,7626.00,7613.73,7698.41
Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1401.91,1411.27,1458.47,1487.17,1506.30,1497.85,1482.34,1463.04,1458.56,1370.94,1398.87,1285.06,1354.50,1355.38,1247.75,1257.13,1207.28,1222.60,1206.00,1197.92,1294.79,1292.75,1291.23,1287.36,1281.28,1286.61,1289.47,1269.01,1288.42,1298.01,1315.21,1336.43,1346.24,1373.36,1369.18,1352.13,1350.16,1355.54,1362.64
